ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-N21-021;DSTR;TC;TC1;121.6;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;WS 6891;HEATHER ST;72B08;;;;1957-01-01;__FJ8VAE;Active;;N;IN_SERVICE;No;2009-11-10T02:33:17-07:00;covDBimport;SDE 834766;31289;31289;"{""coordinates"": [-123.12382561982953, 49.22266367426927], ""type"": ""Point""}";Oakridge
WH-O09-029;DSTR;TC;TC1;4.6;1.2;E-EAST;E-EAST;Blue;Yes;;;;SEC SMITHE ST & GRANVILLE ST;06C20;COVAV;2014-03-07;Crew working on HY HCV closed and locked;1983-01-01;__FJ8VZ5;Active;;N;IN_SERVICE;No;2009-11-10T02:33:00-07:00;covDBimport;SDE 834766;31296;31296;"{""coordinates"": [-123.12133571267151, 49.28015130513902], ""type"": ""Point""}";Downtown
WH-I17-001;DSTR;AVK;2780;1.2;4.6;E-EAST;E-EAST;Green;Yes;;;;NEC W 31ST AV & HIGHBURY ST;47D09;COVAV;;;2006-02-20;__FJ8WRH;Active;;N;IN_SERVICE;Yes;2009-11-10T02:33:55-07:00;covDBimport;SDE 834766;31302;31302;"{""coordinates"": [-123.18798071885324, 49.24435587634896], ""type"": ""Point""}";Dunbar-Southlands
WH-K10-008;DSTR;TC;TC1;4.9;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC VINE ST & CORNWALL AV;23D03;COVAV;;;1982-01-01;__FJ8U4S;Active;;N;IN_SERVICE;No;2009-11-10T02:33:56-07:00;covDBimport;SDE 834766;31306;31306;"{""coordinates"": [-123.15746288979336, 49.27248470392871], ""type"": ""Point""}";Kitsilano
WH-U20-004;DSTR;TC;TC1;1.5;0.6;E-EAST;E-EAST;Blue;Yes;;;;NEC E 46TH AV & ELLIOTT ST;57B07;COVAV;;;1960-01-01;__FJ8TKV;Active;;N;IN_SERVICE;No;2009-11-10T02:34:33-07:00;covDBimport;SDE 834766;31310;31310;"{""coordinates"": [-123.05444012812214, 49.22855416742192], ""type"": ""Point""}";Victoria-Fraserview
WH-N13-006;DSTR;AVK;2780;4.6;0.9;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC SPRUCE ST & W 12TH AV;30D21;COVAV;;;2006-09-06;__FJ8W25;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:33-07:00;covDBimport;SDE 834766;31311;31311;"{""coordinates"": [-123.12898057970027, 49.26046653586359], ""type"": ""Point""}";Fairview
WH-T17-025;DSTR;TC;TC1;0.0;4.6;;;Blue;Yes;;;;NEC NANAIMO ST & KINGSWAY;52D22;COVAV;;;1961-01-01;__FJ8TEC;Active;;N;IN_SERVICE;No;2009-11-10T02:34:00-07:00;covDBimport;ENYAPGK;31313;31313;"{""coordinates"": [-123.05783090362856, 49.2419456445354], ""type"": ""Point""}";Renfrew-Collingwood
WH-U10-011;DSTR;TC;TC1;2.7;1.8;W-WEST;W-WEST;Green;Yes;;;;SWC PARKER ST & SLOCAN ST;17B15;COVAV;;;1964-01-01;__FJ8SSX;Active;;N;IN_SERVICE;No;2009-11-10T02:34:33-07:00;covDBimport;SDE 834766;31314;31314;"{""coordinates"": [-123.04954075313707, 49.27572274780492], ""type"": ""Point""}";Hastings-Sunrise
WH-H15-009;DSTR;TC;C71P;1.5;0.9;E-EAST;E-EAST;Blue;Yes;;;;SEC W 24TH AV & CROWN ST;45B10;COVAV;;;2002-01-01;__FJ8WOY;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:34-07:00;covDBimport;SDE 834766;31315;31315;"{""coordinates"": [-123.19346013350491, 49.25098366881747], ""type"": ""Point""}";Dunbar-Southlands
WH-K19-020;DSTR;Clow;BrigadierM;1.5;0.6;W-WEST;W-WEST;Blue;Yes;;;;NWC W 44TH AV & WEST BOULEVARD;64C15;COVAV;;;1952-01-01;__FJ8TXH;Active;Rodded to valve;N;IN_SERVICE;Yes;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31320;31320;"{""coordinates"": [-123.15581797543886, 49.231914090943256], ""type"": ""Point""}";Kerrisdale
