ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
2953 E 15th Av;Independent School;St Jude's;"{""coordinates"": [-123.04262672835044, 49.256545786691255], ""type"": ""Point""}";Renfrew-Collingwood
727 Templeton Drive;Public School;Templeton Secondary;"{""coordinates"": [-123.06069106000001, 49.278439093067725], ""type"": ""Point""}";Grandview-Woodland
5400 Cartier St;Independent School;Vancouver College DL;"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}";Shaughnessy
5621 Killarney St;Independent School;Vancouver Formosa Academy;"{""coordinates"": [-123.04636736023019, 49.233747421132286], ""type"": ""Point""}";Renfrew-Collingwood
2600 E Broadway;Public School;Vancouver Technical Secondary;"{""coordinates"": [-123.05129983999998, 49.260755475067654], ""type"": ""Point""}";Renfrew-Collingwood
1000 E 59th Av;StrongStart BC;Walter Moberly StrongStart Centre;"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}";Sunset
6111 Elliott St;Public School;Waverley Elementary;"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}";Victoria-Fraserview
6111 Elliott St;StrongStart BC;Waverley StrongStart Centre;"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}";Victoria-Fraserview
4157 Oak St;Independent School;Westside Montessori;"{""coordinates"": [-123.1280001050362, 49.24857412675284], ""type"": ""Point""}";Shaughnessy
3155 E 27th Av;Public School;Windermere Community Secondary;"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}";Renfrew-Collingwood
3274 East Boulevard;Independent School;York House Little School;"{""coordinates"": [-123.152101, 49.25670999906763], ""type"": ""Point""}";Shaughnessy
3400 Balaclava St;Public School;Carnarvon Community Elementary;"{""coordinates"": [-123.17355723856548, 49.25658742134096], ""type"": ""Point""}";Arbutus-Ridge
6955 Frontenac St;Public School;Champlain Heights Community Elementary;"{""coordinates"": [-123.02774835, 49.22064030106746], ""type"": ""Point""}";Killarney
1010 E 17th Av;Public School;Charles Dickens Elementary;"{""coordinates"": [-123.08239063270196, 49.254854500002445], ""type"": ""Point""}";Kensington-Cedar Cottage
2684 E 2nd Av;Public School;Chief Maquinna Elementary;"{""coordinates"": [-123.05058984, 49.26788631306769], ""type"": ""Point""}";Hastings-Sunrise
3417 Euclid Av;StrongStart BC;Collingwood StrongStart Centre;"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}";Renfrew-Collingwood
1580 W Broadway;Public School;Continuing Ed SD 39;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview
8370 Cartier St;Public School;David Lloyd George Elementary;"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}";Marpole
7455 Maple St;Public School;Dr R E McKechnie Elementary;"{""coordinates"": [-123.15401133, 49.21770658906743], ""type"": ""Point""}";Kerrisdale
5025 Willow St;Public School;Eric Hamber Secondary;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie
900 School Green;Public School;False Creek Elementary;"{""coordinates"": [-123.12685921, 49.26710311106769], ""type"": ""Point""}";Fairview
2740 Guelph St;StrongStart BC;Florence Nightingale StrongStart Centre;"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}";Mount Pleasant
1025 Slocan St;Public School;Garibaldi Annex;"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}";Hastings-Sunrise
3745 W 28th Av;Independent School;Immaculate Conception School;"{""coordinates"": [-123.18770751925071, 49.24759061248421], ""type"": ""Point""}";Dunbar-Southlands
801 E 54th Av;StrongStart BC;John Henderson StrongStart Centre;"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}";Sunset
3250 W 43rd Av;Public School;Kerrisdale Annex;"{""coordinates"": [-123.177405, 49.232867999067516], ""type"": ""Point""}";Kerrisdale
1130 Keefer St;Public School;Admiral Seymour Elementary;"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}";Strathcona
1351 Hornby St;Independent School;Anchor Point Montessori;"{""coordinates"": [-123.13091892226645, 49.277061847359775], ""type"": ""Point""}";Downtown
5025 Willow St;Public School;BCCH Eating Disorders School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie
